short_name,player_positions,overall,preferred_foot,weak_foot,skill_moves,player_traits,pace,shooting,passing,dribbling,defending,physic
K. Mbappé,"ST, LW",91,Right,4,5,"Quick Step +, Rapid, Flair, Trivela",97,90,80,92,36,78
E. Haaland,ST,91,Left,3,3,"Acrobatic +, Power Header, Quick Step",89,93,66,80,45,88
K. De Bruyne,"CM, CAM",91,Right,5,4,"Pinged Pass +, Dead Ball, Incisive Pass, Long Ball Pass, Whipped Cross, Trivela",72,88,94,87,65,78
L. Messi,"CF, CAM, ST",90,Left,4,4,"Technical +, Finesse Shot, Dead Ball, Pinged Pass, Tiki Taka, Quick Step, Trivela",80,87,90,94,33,64
K. Benzema,"CF, ST",90,Right,4,4,"Finesse Shot +, Dead Ball, Pinged Pass, Tiki Taka, First Touch, Relentless, Trivela",79,88,83,87,39,78
R. Lewandowski,ST,90,Right,4,4,"Power Header +, Finesse Shot, Chip Shot, Power Shot, Pinged Pass, First Touch, Trivela",75,91,80,87,44,84
T. Courtois,GK,90,Left,3,1,Far Throw,"",,"",,"",
H. Kane,ST,90,Right,5,3,"Pinged Pass +, Long Ball Pass, First Touch, Trivela",69,93,84,83,49,83
Vini Jr.,LW,89,Right,4,5,"Quick Step +, Finesse Shot, Chip Shot, Rapid, Flair, First Touch, Trivela",95,82,78,90,29,68
Alisson,GK,89,Right,3,1,Far Throw,"",,"",,"",
Rodri,"CDM, CM",89,Right,4,3,"Power Shot +, Long Ball Pass, Bruiser",58,73,80,80,85,84
Rúben Dias,CB,89,Right,4,2,"Bruiser +, Power Header, Block, Aerial",62,39,66,69,89,87
Neymar Jr,LW,89,Right,5,5,"Trickster +, Pinged Pass, Technical, Flair, First Touch, Quick Step, Trivela",86,83,85,93,37,61
M. ter Stegen,GK,89,Right,4,1,Footwork,"",,"",,"",
Casemiro,CDM,89,Right,3,2,"Block +, Long Ball Pass, Slide Tackle",63,75,79,73,89,88
V. van Dijk,CB,89,Right,3,2,"Aerial +, Power Header, Long Ball Pass, Jockey, Block, Anticipate, Bruiser",78,60,71,72,89,86
M. Salah,RW,89,Left,3,4,"Finesse Shot +, Chip Shot, Rapid, Trivela",89,87,81,88,45,76
F. Valverde,"CM, RW",88,Right,4,3,"Power Shot, Long Ball Pass, Rapid, Relentless, Trivela",88,82,84,84,80,82
V. Osimhen,ST,88,Right,4,3,"Chip Shot, Power Header, Rapid, Acrobatic",90,86,66,83,42,82
Ederson,GK,88,Left,3,1,"",,"",,"",,
J. Kimmich,"CDM, RB, CM",88,Right,4,3,"Long Ball Pass +, Dead Ball, Whipped Cross, Anticipate, Press Proven, Relentless",70,74,88,84,82,79
A. Griezmann,"ST, CF",88,Left,3,4,"Finesse Shot +, Chip Shot, Pinged Pass, Technical, Flair, Trivela, Acrobatic",80,88,87,88,58,75
J. Oblak,GK,88,Right,3,1,Far Throw,"",,"",,"",
Bruno Fernandes,"CAM, CM",88,Right,3,4,"Pinged Pass +, Incisive Pass, Long Ball Pass, Flair, First Touch, Trivela",71,86,90,83,69,77
Bernardo Silva,"CM, RW",88,Left,3,4,"Technical +, Tiki Taka, Flair, Relentless, Trivela",69,78,86,92,70,69
M. Ødegaard,"CAM, CM",87,Left,2,5,"Pinged Pass +, Incisive Pass, Whipped Cross, Technical, Flair, First Touch, Trivela",72,81,88,87,61,64
F. de Jong,"CM, CDM",87,Right,3,4,"Trivela +, Finesse Shot, Pinged Pass, Long Ball Pass, Tiki Taka, Flair, Press Proven",82,69,86,87,77,78
G. Donnarumma,GK,87,Right,3,1,"",,"",,"",,
L. Martínez,ST,87,Right,4,4,"Technical, Flair, Trivela",80,86,71,85,48,85
G. Kobel,GK,87,Right,3,1,"Far Throw, Footwork","",,"",,"",
M. Maignan,GK,87,Right,4,1,Far Throw,"",,"",,"",
Marquinhos,CB,87,Right,3,3,"Intercept +, Power Header, Jockey, Anticipate, Aerial",78,56,75,74,89,80
M. Neuer,GK,87,Right,4,1,Far Throw,"",,"",,"",
L. Modrić,CM,87,Right,4,4,"Trivela +, Pinged Pass, Long Ball Pass, Whipped Cross, Technical",72,76,89,87,72,66
H. Son,LW,87,Right,5,4,"Finesse Shot +, Rapid, Quick Step",87,88,80,84,42,70
J. Musiala,"CAM, CM, LM",86,Right,4,5,"Technical +, Flair, First Touch, Trickster",85,75,76,91,63,61
K. Kvaratskhelia,"LW, RW",86,Right,5,5,"Finesse Shot, Pinged Pass, Whipped Cross, Technical, Flair, Trickster, Trivela",84,80,81,87,41,71
Pedri,CM,86,Right,4,4,"Tiki Taka +, Pinged Pass, Long Ball Pass, Technical, First Touch, Relentless",78,69,82,88,70,74
Rafael Leão,"LW, CF, ST",86,Right,4,4,"Rapid +, Finesse Shot, Whipped Cross, Flair, Trickster, Quick Step",93,80,75,87,27,76
J. Bellingham,"CM, CAM",86,Right,4,4,"Relentless +, Intercept, Slide Tackle, Technical, Flair",76,78,80,85,78,82
